电子产品名,价格（元）,销量（件）,时间,分类,品牌,原价（元）,折扣率（%）,评价数量,好评率（%）,发货地,保修期（月）
小米 智能穿戴 X5,829,2984,2024/3/31,智能穿戴,小米,1198.21,30.81,210,89.96,上海,6
苹果 智能穿戴 X10,209,4326,2024/11/10,智能穿戴,苹果,211.85,1.34,73,80.17,深圳,24
戴尔 智能手机 X3,2240,41092,2024/11/10,智能手机,戴尔,3314.82,32.42,642,97.04,杭州,6
索尼 投影仪 X7,2431,559,2024/11/12,投影仪,索尼,2712.68,10.38,137,82.35,广州,24
海尔 投影仪 X9,1826,4430,2024/4/21,投影仪,海尔,2686.74,32.04,406,98.14,广州,24
OPPO 投影仪 X8,5492,2195,2024/5/27,投影仪,OPPO,7830.12,29.86,544,90.79,成都,12
OPPO 智能手机 X9,7435,38353,2024/3/28,智能手机,OPPO,10757.47,30.89,872,97.71,上海,18
飞利浦 智能手机 X8,3646,30312,2024/11/25,智能手机,飞利浦,4444.59,17.97,941,81.54,上海,6
华为 电视 X10,6484,6992,2024/11/30,电视,华为,6491.42,0.11,428,90.21,杭州,12
海尔 平板电脑 X3,1825,9546,2024/5/5,平板电脑,海尔,1883.17,3.09,911,81.31,深圳,12
飞利浦 智能家居 X6,4504,2116,2025/1/26,智能家居,飞利浦,6385.16,29.46,930,83.05,北京,12
联想 智能手机 X2,9740,8186,2024/11/19,智能手机,联想,11362.53,14.28,553,88.15,广州,18
小米 笔记本电脑 X7,19982,17587,2024/6/17,笔记本电脑,小米,24642.54,18.91,907,81.52,深圳,12
联想 平板电脑 X4,3469,3566,2025/2/1,平板电脑,联想,4715.87,26.44,819,96.84,成都,18
三星 笔记本电脑 X9,7981,931,2024/2/22,笔记本电脑,三星,9202.9,13.28,111,82.59,上海,18
苹果 笔记本电脑 X9,11428,15678,2025/2/2,笔记本电脑,苹果,13659.68,16.34,508,89.35,武汉,6
OPPO 智能手机 X8,7502,19095,2024/6/8,智能手机,OPPO,8474.19,11.47,805,92.48,广州,24
三星 平板电脑 X6,4634,6587,2024/2/18,平板电脑,三星,5108.86,9.29,137,98.47,广州,24
小米 智能手机 X10,8416,41774,2024/5/22,智能手机,小米,9398.05,10.45,382,95.03,上海,24
小米 投影仪 X10,7312,1545,2024/4/22,投影仪,小米,7663.69,4.59,603,89.32,成都,6
联想 平板电脑 X2,5142,6074,2024/12/17,平板电脑,联想,5845.98,12.04,508,96.71,深圳,12
飞利浦 平板电脑 X5,3654,7671,2024/12/6,平板电脑,飞利浦,4138.79,11.71,290,85.56,上海,12
苹果 耳机 X5,834,1548,2024/7/26,耳机,苹果,902.91,7.63,206,88.69,北京,12
联想 智能家居 X5,630,327,2024/3/5,智能家居,联想,844.09,25.36,963,94.2,北京,12
小米 智能穿戴 X4,990,2062,2024/12/13,智能穿戴,小米,1264.14,21.69,334,82.25,成都,6
苹果 投影仪 X3,9345,1258,2024/5/3,投影仪,苹果,11865.44,21.24,936,81.98,成都,12
索尼 耳机 X10,858,2593,2024/5/15,耳机,索尼,1035.72,17.16,935,81.93,成都,12
飞利浦 电视 X8,7554,8683,2024/5/17,电视,飞利浦,8039.17,6.04,284,94.57,成都,12
联想 智能手机 X1,4612,7441,2024/3/21,智能手机,联想,5167.08,10.74,848,85.64,成都,18
小米 智能家居 X2,4312,1222,2025/1/17,智能家居,小米,4450.72,3.12,569,83.76,北京,24
飞利浦 电视 X10,10644,8838,2025/1/22,电视,飞利浦,11516.07,7.57,818,85.64,广州,6
华为 电视 X6,10798,5497,2024/3/7,电视,华为,12417.06,13.04,1000,92.75,成都,24
联想 笔记本电脑 X8,12395,13257,2024/6/2,笔记本电脑,联想,16906.93,26.69,746,89.17,北京,24
苹果 智能穿戴 X2,382,1507,2024/6/3,智能穿戴,苹果,461.84,17.29,344,85.78,武汉,6
小米 笔记本电脑 X9,13353,5397,2024/10/31,笔记本电脑,小米,15237.31,12.37,367,88.27,深圳,12
OPPO 笔记本电脑 X10,10942,17621,2024/11/29,笔记本电脑,OPPO,15351.8,28.72,627,83.9,上海,18
海尔 笔记本电脑 X5,17663,6336,2024/8/31,笔记本电脑,海尔,23898.93,26.09,178,94.05,上海,24
小米 智能家居 X4,1555,802,2024/3/6,智能家居,小米,1633.43,4.8,509,98.82,武汉,6
海尔 笔记本电脑 X9,11591,10539,2024/6/24,笔记本电脑,海尔,16938.1,31.57,429,94.98,深圳,6
海尔 耳机 X7,919,755,2025/1/8,耳机,海尔,924.01,0.54,422,97.02,广州,12
小米 投影仪 X6,2321,4750,2024/2/16,投影仪,小米,3230.57,28.16,987,97.79,成都,6
苹果 投影仪 X4,4050,4461,2024/9/3,投影仪,苹果,4203.57,3.65,704,90.25,成都,6
华为 电视 X6,11851,5179,2024/10/5,电视,华为,17084.16,30.63,954,92.22,成都,24
OPPO 平板电脑 X7,5839,9937,2024/4/22,平板电脑,OPPO,7556.68,22.73,237,83.79,广州,12
联想 智能穿戴 X7,988,604,2025/1/26,智能穿戴,联想,1335.88,26.04,541,85.25,成都,24
华为 智能手机 X1,2633,40823,2024/3/23,智能手机,华为,2985.16,11.8,423,87.66,上海,12
华为 智能手机 X8,8880,24550,2024/7/18,智能手机,华为,12222.49,27.35,196,83.09,广州,6
小米 智能家居 X4,564,2267,2024/8/8,智能家居,小米,792.18,28.8,201,81.27,成都,18
小米 投影仪 X10,5088,505,2024/3/25,投影仪,小米,6080.9,16.33,220,84.73,武汉,18
联想 笔记本电脑 X8,4496,7607,2024/12/1,笔记本电脑,联想,4851.92,7.34,504,81.23,广州,6
OPPO 投影仪 X10,2542,4331,2024/9/18,投影仪,OPPO,3787.39,32.88,780,87.97,深圳,6
联想 投影仪 X7,5485,2476,2025/1/11,投影仪,联想,7879.27,30.39,339,88.37,武汉,6
小米 投影仪 X2,7484,2064,2024/5/23,投影仪,小米,11060,32.33,695,87.24,北京,24
苹果 耳机 X4,962,499,2024/12/11,耳机,苹果,1130.08,14.87,465,98.99,北京,18
戴尔 笔记本电脑 X2,13941,11122,2024/4/3,笔记本电脑,戴尔,15539.49,10.29,533,83.93,武汉,6
三星 平板电脑 X10,2455,2645,2024/10/21,平板电脑,三星,2668.42,8,546,81.59,上海,18
OPPO 智能穿戴 X10,408,2302,2024/5/28,智能穿戴,OPPO,485.05,15.88,613,93.41,杭州,12
索尼 笔记本电脑 X9,12492,4751,2025/1/23,笔记本电脑,索尼,18241.93,31.52,632,96.28,北京,18
三星 智能穿戴 X10,426,3813,2024/12/14,智能穿戴,三星,494.09,13.78,343,91.21,杭州,24
华为 投影仪 X9,3642,3403,2024/7/20,投影仪,华为,5188.16,29.8,380,89.26,上海,6
索尼 平板电脑 X4,5247,5229,2024/7/10,平板电脑,索尼,6751.32,22.28,96,97.4,北京,18
华为 智能家居 X1,3090,205,2024/2/28,智能家居,华为,3138.25,1.54,116,85.42,深圳,6
OPPO 笔记本电脑 X3,5013,10138,2024/7/17,笔记本电脑,OPPO,5920.38,15.33,344,86.65,杭州,12
苹果 笔记本电脑 X7,11204,4982,2024/12/22,笔记本电脑,苹果,13788.13,18.74,856,89.98,上海,12
索尼 平板电脑 X10,6262,895,2024/3/29,平板电脑,索尼,6779.4,7.63,204,93.95,杭州,6
海尔 智能家居 X4,4816,1567,2024/7/29,智能家居,海尔,6881.01,30.01,527,93.3,成都,12
戴尔 耳机 X9,983,766,2024/3/14,耳机,戴尔,1060.69,7.32,492,92.29,成都,6
小米 笔记本电脑 X5,14464,8137,2024/7/28,笔记本电脑,小米,20683.04,30.07,283,88.29,上海,6
华为 智能手机 X1,1371,5692,2024/10/12,智能手机,华为,1573.98,12.9,789,97.26,杭州,6
小米 笔记本电脑 X7,5015,14182,2024/2/20,笔记本电脑,小米,6951.78,27.86,350,88.94,深圳,24
华为 智能穿戴 X4,632,2130,2024/6/11,智能穿戴,华为,867.58,27.15,326,86.97,上海,6
戴尔 智能家居 X4,3758,351,2024/7/16,智能家居,戴尔,5632.39,33.28,423,82.88,北京,6
海尔 平板电脑 X2,6192,1653,2024/7/23,平板电脑,海尔,7810.58,20.72,383,80.86,杭州,18
海尔 耳机 X1,904,773,2024/3/31,耳机,海尔,1308.45,30.91,364,94.82,广州,18
华为 耳机 X7,323,1765,2024/11/4,耳机,华为,412.25,21.65,931,82.72,北京,12
小米 智能手机 X3,9545,6524,2024/8/12,智能手机,小米,12521.49,23.77,157,90.6,北京,6
OPPO 电视 X9,12354,8256,2024/4/18,电视,OPPO,16938.12,27.06,709,92.16,杭州,12
OPPO 智能穿戴 X1,936,1196,2024/9/24,智能穿戴,OPPO,1004.33,6.8,773,87.77,北京,12
OPPO 耳机 X1,431,1248,2024/12/21,耳机,OPPO,538.09,19.9,763,91.09,杭州,6
OPPO 耳机 X10,820,885,2024/2/26,耳机,OPPO,1018.76,19.51,313,89.54,深圳,24
三星 平板电脑 X1,6158,8969,2024/12/31,平板电脑,三星,9112.36,32.42,491,83.06,广州,12
联想 智能手机 X9,8821,19352,2024/8/12,智能手机,联想,9787.07,9.87,896,96.12,广州,12
华为 智能家居 X7,1325,2460,2024/9/9,智能家居,华为,1621.79,18.3,416,86.62,武汉,12
小米 智能手机 X8,1369,36992,2024/11/21,智能手机,小米,1976.64,30.74,323,83.75,广州,18
三星 智能手机 X2,9730,1170,2024/6/28,智能手机,三星,10931.83,10.99,321,93.61,深圳,12
三星 笔记本电脑 X8,7976,16237,2024/4/11,笔记本电脑,三星,9966.54,19.97,513,97.42,广州,18
三星 耳机 X1,345,554,2024/10/27,耳机,三星,477.68,27.78,680,97.48,深圳,18
小米 耳机 X6,510,556,2024/12/6,耳机,小米,729.64,30.1,426,87.92,广州,6
苹果 智能家居 X9,4367,275,2025/1/19,智能家居,苹果,5663.8,22.9,494,87.57,上海,18
三星 电视 X10,9833,2521,2024/7/22,电视,三星,13489.46,27.11,518,98,杭州,18
苹果 智能穿戴 X8,778,2738,2024/6/28,智能穿戴,苹果,1159.04,32.88,918,82.08,广州,12
海尔 智能家居 X1,1033,247,2024/10/28,智能家居,海尔,1211.63,14.74,383,81.01,深圳,18
索尼 投影仪 X6,6089,1162,2025/1/7,投影仪,索尼,8239.07,26.1,961,88.23,上海,12
小米 投影仪 X9,8625,2744,2024/12/18,投影仪,小米,12888.41,33.08,153,91.29,广州,24
联想 平板电脑 X4,1354,5749,2024/3/22,平板电脑,联想,1593.24,15.02,46,98.42,武汉,6
戴尔 耳机 X4,959,2514,2024/8/20,耳机,戴尔,1356.37,29.3,903,81.64,北京,24
华为 耳机 X10,939,2467,2024/6/28,耳机,华为,1358.14,30.86,145,91.94,北京,12
联想 耳机 X6,983,832,2024/11/25,耳机,联想,1148.39,14.4,711,82.3,上海,6
索尼 耳机 X6,444,2755,2024/4/9,耳机,索尼,536.02,17.17,755,94.68,深圳,12
小米 耳机 X6,131,1391,2024/5/19,耳机,小米,149.69,12.48,764,94.86,杭州,12
小米 平板电脑 X1,673,7141,2024/11/28,平板电脑,小米,755.26,10.89,34,91.28,成都,18
小米 智能家居 X9,4619,527,2024/8/11,智能家居,小米,5369.64,13.98,609,95.7,深圳,12
华为 投影仪 X1,6399,1212,2024/8/13,投影仪,华为,7982.53,19.84,332,93.08,成都,18
OPPO 智能手机 X1,4549,24846,2024/12/9,智能手机,OPPO,6807.92,33.18,614,95.17,上海,24
联想 笔记本电脑 X2,9176,5865,2024/12/31,笔记本电脑,联想,10788.74,14.95,552,80.38,成都,18
戴尔 智能穿戴 X5,208,4880,2024/4/2,智能穿戴,戴尔,208.68,0.33,124,90.39,上海,6
海尔 智能家居 X4,177,365,2024/6/16,智能家居,海尔,187.24,5.47,699,93.78,深圳,12
海尔 平板电脑 X2,6700,3854,2024/11/17,平板电脑,海尔,9899.65,32.32,604,98.18,北京,18
索尼 电视 X3,7787,5772,2024/9/30,电视,索尼,10336.84,24.67,53,88.78,深圳,24
戴尔 智能穿戴 X7,191,2282,2024/9/13,智能穿戴,戴尔,265.74,28.12,688,97.95,武汉,12
OPPO 智能手机 X10,7203,45529,2024/7/3,智能手机,OPPO,10072.06,28.49,598,83.41,武汉,12
联想 平板电脑 X8,6525,3453,2024/9/26,平板电脑,联想,9432.99,30.83,879,95.67,深圳,24
苹果 笔记本电脑 X6,10868,12492,2024/5/8,笔记本电脑,苹果,10899.16,0.29,577,88.66,杭州,18
华为 投影仪 X5,9138,3886,2024/7/28,投影仪,华为,10206.64,10.47,190,84.76,武汉,18
戴尔 智能家居 X4,2860,1246,2025/1/7,智能家居,戴尔,3847.13,25.66,901,91.79,北京,12
飞利浦 平板电脑 X3,6845,479,2024/12/3,平板电脑,飞利浦,7512.79,8.89,414,82.03,成都,6
OPPO 笔记本电脑 X10,15156,9047,2024/10/13,笔记本电脑,OPPO,17936.69,15.5,741,88.18,成都,24
飞利浦 投影仪 X2,4246,1541,2024/12/18,投影仪,飞利浦,5614.73,24.38,576,84.01,广州,6
OPPO 电视 X10,13164,749,2024/4/5,电视,OPPO,13841.72,4.9,16,86.53,上海,18
三星 智能家居 X6,3511,2007,2024/8/28,智能家居,三星,5201.55,32.5,410,87.73,北京,24
戴尔 智能穿戴 X4,871,4104,2024/9/4,智能穿戴,戴尔,901.81,3.42,172,82.43,武汉,12
三星 耳机 X4,235,1575,2024/10/22,耳机,三星,339.32,30.74,664,82.24,广州,18
苹果 智能手机 X1,4122,5167,2024/8/19,智能手机,苹果,5404.73,23.73,419,84.49,上海,24
OPPO 电视 X3,1018,2500,2024/6/6,电视,OPPO,1144.83,11.08,367,82.27,杭州,12
海尔 智能手机 X6,4055,30888,2024/11/10,智能手机,海尔,4820.42,15.88,805,81.71,上海,24
索尼 智能手机 X5,6023,19025,2024/6/22,智能手机,索尼,6708.9,10.22,123,85.27,北京,6
小米 笔记本电脑 X8,18498,18840,2024/9/9,笔记本电脑,小米,25700.75,28.03,679,98.24,杭州,18
飞利浦 智能手机 X4,2099,36600,2024/2/26,智能手机,飞利浦,2601.22,19.31,422,85.16,上海,12
苹果 电视 X3,8011,7837,2024/3/18,电视,苹果,8639.83,7.28,560,96.53,武汉,18
索尼 笔记本电脑 X6,10006,647,2024/11/13,笔记本电脑,索尼,10258.21,2.46,585,88.15,广州,6
飞利浦 智能家居 X2,3902,1304,2024/4/28,智能家居,飞利浦,4747.03,17.8,900,80.84,杭州,6
飞利浦 笔记本电脑 X9,9114,14265,2025/1/1,笔记本电脑,飞利浦,10482.63,13.06,531,83.01,武汉,6
飞利浦 智能穿戴 X9,602,4592,2024/7/31,智能穿戴,飞利浦,827,27.21,382,97.5,杭州,18
飞利浦 智能手机 X1,1034,41246,2024/7/24,智能手机,飞利浦,1102.26,6.19,93,86.04,广州,24
华为 智能穿戴 X6,396,685,2024/3/13,智能穿戴,华为,444.18,10.85,243,90.96,深圳,6
戴尔 耳机 X9,880,139,2024/9/15,耳机,戴尔,996.89,11.73,446,83.97,深圳,12
小米 智能家居 X8,3909,267,2024/7/11,智能家居,小米,4251.96,8.07,366,88.79,上海,12
三星 平板电脑 X2,6250,8963,2024/3/9,平板电脑,三星,8633.47,27.61,821,86.14,武汉,24
OPPO 智能家居 X9,4675,2286,2025/1/1,智能家居,OPPO,6281.04,25.57,750,92.44,上海,12
联想 笔记本电脑 X5,6516,3700,2024/8/14,笔记本电脑,联想,8904.03,26.82,25,96,上海,24
联想 投影仪 X7,654,3729,2024/3/22,投影仪,联想,898.34,27.2,787,82.49,广州,18
索尼 智能手机 X8,4536,43293,2024/7/26,智能手机,索尼,4682.02,3.12,332,85.74,北京,24
OPPO 智能手机 X4,5240,14604,2024/2/12,智能手机,OPPO,7319.88,28.41,122,86.08,广州,18
戴尔 智能穿戴 X10,974,1011,2024/8/2,智能穿戴,戴尔,1359.6,28.36,712,96.8,武汉,24
联想 智能家居 X4,2065,2216,2024/11/27,智能家居,联想,2669.79,22.65,404,81.4,北京,18
飞利浦 平板电脑 X4,3145,8520,2024/3/21,平板电脑,飞利浦,3654.88,13.95,415,86.31,深圳,18
三星 投影仪 X1,9448,760,2024/7/16,投影仪,三星,11064.95,14.61,525,95.34,上海,18
苹果 投影仪 X4,4008,1590,2024/8/17,投影仪,苹果,4195.89,4.48,217,91.76,上海,12
索尼 平板电脑 X9,4923,6648,2024/11/17,平板电脑,索尼,6744.38,27.01,613,89.65,深圳,18
华为 平板电脑 X3,7433,1464,2024/4/21,平板电脑,华为,9957.6,25.35,276,80.25,深圳,12
苹果 智能穿戴 X3,282,4736,2024/4/8,智能穿戴,苹果,342.6,17.69,17,89.99,北京,18
苹果 投影仪 X2,6708,2689,2024/3/1,投影仪,苹果,9827.77,31.74,186,93.93,深圳,12
小米 耳机 X4,645,2031,2024/5/20,耳机,小米,825.22,21.84,45,91.5,成都,12
飞利浦 智能手机 X9,7128,28239,2024/10/24,智能手机,飞利浦,8616.09,17.27,776,97.72,广州,24
华为 平板电脑 X1,6515,5066,2024/7/11,平板电脑,华为,8330.31,21.79,223,98.71,成都,6
三星 智能手机 X5,9733,47801,2024/6/22,智能手机,三星,11171.37,12.88,533,84.72,成都,12
戴尔 耳机 X9,274,2491,2024/5/27,耳机,戴尔,287.22,4.6,213,85.49,广州,12
联想 笔记本电脑 X5,9240,5935,2024/5/2,笔记本电脑,联想,11731.22,21.24,66,81.78,广州,24
小米 智能手机 X7,2505,45016,2024/5/12,智能手机,小米,2543.8,1.53,793,92.48,成都,6
海尔 笔记本电脑 X9,10621,12539,2024/3/9,笔记本电脑,海尔,13034.33,18.52,687,86.21,上海,12
飞利浦 耳机 X6,896,145,2024/9/26,耳机,飞利浦,1082.87,17.26,993,85.65,上海,6
小米 电视 X9,14229,2019,2024/11/17,电视,小米,16792.83,15.27,683,93.5,杭州,18
海尔 投影仪 X10,5172,4186,2024/7/5,投影仪,海尔,7497.92,31.02,227,87.04,深圳,18
飞利浦 智能手机 X4,4649,21264,2024/6/21,智能手机,飞利浦,4806.22,3.27,433,98.26,武汉,24
戴尔 电视 X6,7634,4953,2024/4/10,电视,戴尔,10545.57,27.61,362,88.87,杭州,12
华为 耳机 X7,367,101,2024/4/8,耳机,华为,509.75,28,122,86.99,深圳,6
OPPO 投影仪 X5,6476,2396,2024/6/16,投影仪,OPPO,8345.78,22.4,953,92.3,武汉,6
飞利浦 投影仪 X6,9827,4823,2024/10/31,投影仪,飞利浦,13854.45,29.07,158,91.81,武汉,12
三星 电视 X3,13471,566,2024/7/6,电视,三星,14872.55,9.42,142,91.84,杭州,18
联想 投影仪 X2,6064,2028,2024/9/18,投影仪,联想,7371.78,17.74,128,82.13,上海,24
索尼 笔记本电脑 X8,12630,13446,2024/10/9,笔记本电脑,索尼,15163.04,16.71,166,84.01,北京,18
联想 电视 X5,1517,274,2024/7/15,电视,联想,1862.21,18.54,601,92.03,成都,24
小米 智能家居 X3,4474,1673,2024/3/25,智能家居,小米,5404.13,17.21,928,84.93,上海,12
戴尔 智能手机 X6,6003,34408,2024/3/1,智能手机,戴尔,7417.86,19.07,899,87.19,北京,12
苹果 投影仪 X1,3153,742,2024/8/9,投影仪,苹果,3982.23,20.82,329,98.56,武汉,18
华为 平板电脑 X7,3937,2180,2024/5/11,平板电脑,华为,5616.99,29.91,700,80.64,武汉,12
华为 智能家居 X7,2550,353,2024/8/6,智能家居,华为,2786.56,8.49,846,89.16,深圳,18
苹果 笔记本电脑 X10,3839,3285,2024/8/7,笔记本电脑,苹果,5751.36,33.25,182,85.05,杭州,12
苹果 耳机 X8,522,1242,2024/3/15,耳机,苹果,529.51,1.42,789,86.38,广州,18
苹果 笔记本电脑 X4,7810,8459,2025/1/14,笔记本电脑,苹果,11464.06,31.87,820,83.89,广州,18
联想 智能手机 X10,8720,20160,2024/5/26,智能手机,联想,13033.5,33.1,184,89.48,广州,24
海尔 智能家居 X8,2718,351,2024/2/13,智能家居,海尔,3819.94,28.85,991,80.09,成都,6
联想 智能手机 X9,2575,16199,2024/7/24,智能手机,联想,3167.73,18.71,945,91.63,杭州,12
索尼 投影仪 X5,2141,2307,2024/9/2,投影仪,索尼,2363.49,9.41,929,84.3,成都,12
华为 投影仪 X9,8190,4864,2024/3/17,投影仪,华为,9743.38,15.94,498,93.39,上海,24
OPPO 智能穿戴 X4,428,4986,2024/8/14,智能穿戴,OPPO,533,19.7,795,93.07,深圳,6
索尼 电视 X7,8577,4608,2025/1/1,电视,索尼,9349.79,8.27,62,91.84,深圳,18
戴尔 耳机 X6,621,2107,2024/11/1,耳机,戴尔,870.61,28.67,920,96.03,广州,18
海尔 耳机 X1,432,2543,2024/12/7,耳机,海尔,495.86,12.88,741,96.69,北京,12
联想 智能手机 X10,7993,30186,2024/9/16,智能手机,联想,9184.56,12.97,774,86.49,杭州,24
飞利浦 笔记本电脑 X2,4796,16709,2024/5/31,笔记本电脑,飞利浦,7140.69,32.84,954,88.56,成都,12
苹果 智能手机 X9,5229,22791,2024/12/22,智能手机,苹果,6983.6,25.12,500,93.96,成都,24
联想 电视 X1,10390,5624,2024/11/30,电视,联想,13745.05,24.41,226,86.95,成都,24
华为 智能穿戴 X3,256,3539,2025/2/6,智能穿戴,华为,276.6,7.45,637,85.17,上海,12
华为 智能家居 X5,4482,2024,2024/11/12,智能家居,华为,6281.29,28.65,693,93.89,杭州,18
三星 平板电脑 X5,5269,9172,2024/12/3,平板电脑,三星,5487.02,3.97,245,91.97,成都,24
飞利浦 投影仪 X1,964,4314,2024/11/2,投影仪,飞利浦,1369.37,29.6,764,82.19,成都,24
三星 投影仪 X10,4398,284,2024/9/9,投影仪,三星,5973.58,26.38,387,95.17,武汉,18
苹果 智能手机 X5,3803,3269,2025/1/14,智能手机,苹果,4330.31,12.18,980,91.45,深圳,12
OPPO 智能穿戴 X6,292,3962,2024/11/7,智能穿戴,OPPO,327.71,10.9,504,82.08,杭州,18
苹果 智能穿戴 X4,328,1922,2024/9/7,智能穿戴,苹果,393.18,16.58,299,95.41,成都,6
小米 投影仪 X2,4557,3666,2024/7/14,投影仪,小米,4634.3,1.67,310,90.57,成都,6
小米 电视 X2,3658,6109,2024/3/23,电视,小米,3974.14,7.95,63,97.41,杭州,24
戴尔 投影仪 X3,3736,3842,2024/3/26,投影仪,戴尔,5397.97,30.79,294,86.81,武汉,12
三星 投影仪 X7,2107,2762,2024/12/11,投影仪,三星,2383.85,11.61,666,94.81,广州,12
小米 平板电脑 X10,1949,1414,2024/8/31,平板电脑,小米,2366.05,17.63,526,97.61,成都,24
联想 耳机 X4,895,563,2024/7/10,耳机,联想,976.5,8.35,589,88.97,成都,18
OPPO 笔记本电脑 X8,15009,7019,2024/11/12,笔记本电脑,OPPO,17107.45,12.27,876,84.04,成都,18
苹果 智能穿戴 X10,664,4561,2024/2/9,智能穿戴,苹果,993.2,33.15,306,97.82,武汉,24
索尼 平板电脑 X4,3947,3264,2024/9/19,平板电脑,索尼,5370.5,26.51,317,96.34,北京,12
